,figure,authenticity,year,band,selling_price_USD,condition,character_type,recorded_sales_updated
41,2-1B,ungraded,1/1/2015,0.7,14.99,loose_figure,droid,15.8
42,2-1B,ungraded,1/1/2016,0.7,17.18,loose_figure,droid,14.7
43,2-1B,ungraded,1/1/2017,0.7,20.5,loose_figure,droid,10.1
44,2-1B,ungraded,1/1/2018,0.7,20.51,loose_figure,droid,9.7
45,2-1B,ungraded,1/1/2019,0.7,20.75,loose_figure,droid,7.6
46,2-1B,ungraded,1/1/2020,0.7,23.32,loose_figure,droid,8.6
47,2-1B,ungraded,1/1/2021,0.7,32.99,loose_figure,droid,10.8
48,2-1B,ungraded,1/1/2022,0.7,35,loose_figure,droid,17.4
49,2-1B,ungraded,1/1/2023,0.7,31.65,loose_figure,droid,13.4
50,2-1B,ungraded,1/1/2024,0.7,33.17,loose_figure,droid,10.5
51,2-1B,ungraded,1/1/2025,0.7,32.38,loose_figure,droid,10.3
52,2-1B,ungraded,1/1/2013,0.6,9.58,loose_figure,droid,0.4
53,2-1B,ungraded,1/1/2014,0.6,11.01,loose_figure,droid,10.5
54,2-1B,ungraded,1/1/2015,0.6,13.3,loose_figure,droid,15.8
55,2-1B,ungraded,1/1/2016,0.6,15.5,loose_figure,droid,14.7
56,2-1B,ungraded,1/1/2017,0.6,17.94,loose_figure,droid,10.1
57,2-1B,ungraded,1/1/2018,0.6,18.4,loose_figure,droid,9.7
58,2-1B,ungraded,1/1/2019,0.6,19.01,loose_figure,droid,7.6
59,2-1B,ungraded,1/1/2020,0.6,20.86,loose_figure,droid,8.6
60,2-1B,ungraded,1/1/2021,0.6,29.99,loose_figure,droid,10.8
61,2-1B,ungraded,1/1/2022,0.6,33,loose_figure,droid,17.4
62,2-1B,ungraded,1/1/2023,0.6,29,loose_figure,droid,13.4
63,2-1B,ungraded,1/1/2024,0.6,31.53,loose_figure,droid,10.5
64,2-1B,ungraded,1/1/2025,0.6,29.5,loose_figure,droid,10.3
65,2-1B,ungraded,1/1/2013,0.5,9.58,loose_figure,droid,0.4
66,2-1B,ungraded,1/1/2014,0.5,9.99,loose_figure,droid,10.5
67,2-1B,ungraded,1/1/2015,0.5,12.36,loose_figure,droid,15.8
68,2-1B,ungraded,1/1/2016,0.5,13.7,loose_figure,droid,14.7
69,2-1B,ungraded,1/1/2017,0.5,16.49,loose_figure,droid,10.1
70,2-1B,ungraded,1/1/2018,0.5,17,loose_figure,droid,9.7
71,2-1B,ungraded,1/1/2019,0.5,17.43,loose_figure,droid,7.6
72,2-1B,ungraded,1/1/2020,0.5,18.23,loose_figure,droid,8.6
73,2-1B,ungraded,1/1/2021,0.5,27.48,loose_figure,droid,10.8
74,2-1B,ungraded,1/1/2022,0.5,31.5,loose_figure,droid,17.4
75,2-1B,ungraded,1/1/2023,0.5,27,loose_figure,droid,13.4
76,2-1B,ungraded,1/1/2024,0.5,29.99,loose_figure,droid,10.5
77,2-1B,ungraded,1/1/2025,0.5,27,loose_figure,droid,10.3
78,2-1B,ungraded,1/1/2013,0.4,9.58,loose_figure,droid,0.4
79,2-1B,ungraded,1/1/2014,0.4,9.11,loose_figure,droid,10.5
80,2-1B,ungraded,1/1/2015,0.4,11,loose_figure,droid,15.8
81,2-1B,ungraded,1/1/2016,0.4,12.5,loose_figure,droid,14.7
82,2-1B,ungraded,1/1/2017,0.4,15.5,loose_figure,droid,10.1
83,2-1B,ungraded,1/1/2018,0.4,15.5,loose_figure,droid,9.7
84,2-1B,ungraded,1/1/2019,0.4,15.88,loose_figure,droid,7.6
85,2-1B,ungraded,1/1/2020,0.4,16,loose_figure,droid,8.6
86,2-1B,ungraded,1/1/2021,0.4,23.5,loose_figure,droid,10.8
87,2-1B,ungraded,1/1/2022,0.4,27.67,loose_figure,droid,17.4
88,2-1B,ungraded,1/1/2023,0.4,25.1,loose_figure,droid,13.4
89,2-1B,ungraded,1/1/2024,0.4,27,loose_figure,droid,10.5
90,2-1B,ungraded,1/1/2025,0.4,23.5,loose_figure,droid,10.3
91,2-1B,ungraded,1/1/2013,0.3,8.59,loose_figure,droid,0.4
92,2-1B,ungraded,1/1/2014,0.3,8.5,loose_figure,droid,10.5
93,2-1B,ungraded,1/1/2015,0.3,9.96,loose_figure,droid,15.8
94,2-1B,ungraded,1/1/2016,0.3,11.09,loose_figure,droid,14.7
95,2-1B,ungraded,1/1/2017,0.3,14.03,loose_figure,droid,10.1
96,2-1B,ungraded,1/1/2018,0.3,14.54,loose_figure,droid,9.7
97,2-1B,ungraded,1/1/2019,0.3,14.99,loose_figure,droid,7.6
98,2-1B,ungraded,1/1/2020,0.3,14.5,loose_figure,droid,8.6
99,2-1B,ungraded,1/1/2021,0.3,20.86,loose_figure,droid,10.8
100,2-1B,ungraded,1/1/2022,0.3,24.71,loose_figure,droid,17.4
101,2-1B,ungraded,1/1/2023,0.3,22.5,loose_figure,droid,13.4
102,2-1B,ungraded,1/1/2024,0.3,24.99,loose_figure,droid,10.5
103,2-1B,ungraded,1/1/2025,0.3,22,loose_figure,droid,10.3
104,2-1B,ungraded,1/1/2013,0.2,8.59,loose_figure,droid,0.4
105,2-1B,ungraded,1/1/2014,0.2,7.5,loose_figure,droid,10.5
106,2-1B,ungraded,1/1/2015,0.2,8.95,loose_figure,droid,15.8
107,2-1B,ungraded,1/1/2016,0.2,10,loose_figure,droid,14.7
108,2-1B,ungraded,1/1/2017,0.2,11.58,loose_figure,droid,10.1
109,2-1B,ungraded,1/1/2018,0.2,12.71,loose_figure,droid,9.7
110,2-1B,ungraded,1/1/2019,0.2,13.07,loose_figure,droid,7.6
111,2-1B,ungraded,1/1/2020,0.2,13.5,loose_figure,droid,8.6
112,2-1B,ungraded,1/1/2021,0.2,18.5,loose_figure,droid,10.8
113,2-1B,ungraded,1/1/2022,0.2,21.56,loose_figure,droid,17.4
114,2-1B,ungraded,1/1/2023,0.2,20.5,loose_figure,droid,13.4
115,2-1B,ungraded,1/1/2024,0.2,21.14,loose_figure,droid,10.5
116,2-1B,ungraded,1/1/2025,0.2,19.4,loose_figure,droid,10.3
117,2-1B,ungraded,1/1/2013,0.1,8.59,loose_figure,droid,0.4
118,2-1B,ungraded,1/1/2014,0.1,6,loose_figure,droid,10.5
119,2-1B,ungraded,1/1/2015,0.1,6.99,loose_figure,droid,15.8
120,2-1B,ungraded,1/1/2016,0.1,8.52,loose_figure,droid,14.7
121,2-1B,ungraded,1/1/2017,0.1,10.38,loose_figure,droid,10.1
122,2-1B,ungraded,1/1/2018,0.1,10.25,loose_figure,droid,9.7
123,2-1B,ungraded,1/1/2019,0.1,11.21,loose_figure,droid,7.6
124,2-1B,ungraded,1/1/2020,0.1,10,loose_figure,droid,8.6
125,2-1B,ungraded,1/1/2021,0.1,13.5,loose_figure,droid,10.8
126,2-1B,ungraded,1/1/2022,0.1,17.65,loose_figure,droid,17.4
127,2-1B,ungraded,1/1/2023,0.1,17.5,loose_figure,droid,13.4
128,2-1B,ungraded,1/1/2024,0.1,18.5,loose_figure,droid,10.5
129,2-1B,ungraded,1/1/2025,0.1,15,loose_figure,droid,10.3
130,2-1B,graded,1/1/2014,1,186.06,loose_figure,droid,10.5
131,2-1B,graded,1/1/2015,1,100,loose_figure,droid,15.8
132,2-1B,graded,1/1/2016,1,99.99,loose_figure,droid,14.7
133,2-1B,graded,1/1/2017,1,110.02,loose_figure,droid,10.1
134,2-1B,graded,1/1/2018,1,306.01,loose_figure,droid,9.7
135,2-1B,graded,1/1/2019,1,201.11,loose_figure,droid,7.6
136,2-1B,graded,1/1/2020,1,241.4,loose_figure,droid,8.6
137,2-1B,graded,1/1/2021,1,332.76,loose_figure,droid,10.8
138,2-1B,graded,1/1/2022,1,465,loose_figure,droid,17.4
139,2-1B,graded,1/1/2023,1,429.47,loose_figure,droid,13.4
140,2-1B,graded,1/1/2024,1,852.95,loose_figure,droid,10.5
141,2-1B,graded,1/1/2025,1,313.5,loose_figure,droid,10.3
142,2-1B,graded,1/1/2014,0.9,100,loose_figure,droid,10.5
143,2-1B,graded,1/1/2015,0.9,77.25,loose_figure,droid,15.8
144,2-1B,graded,1/1/2016,0.9,63,loose_figure,droid,14.7
145,2-1B,graded,1/1/2017,0.9,84.96,loose_figure,droid,10.1
146,2-1B,graded,1/1/2018,0.9,104.03,loose_figure,droid,9.7
147,2-1B,graded,1/1/2019,0.9,130,loose_figure,droid,7.6
148,2-1B,graded,1/1/2020,0.9,131.5,loose_figure,droid,8.6
149,2-1B,graded,1/1/2021,0.9,153.51,loose_figure,droid,10.8
150,2-1B,graded,1/1/2022,0.9,199.99,loose_figure,droid,17.4
151,2-1B,graded,1/1/2023,0.9,188.78,loose_figure,droid,13.4
152,2-1B,graded,1/1/2024,0.9,214.5,loose_figure,droid,10.5
153,2-1B,graded,1/1/2025,0.9,204.5,loose_figure,droid,10.3
154,2-1B,graded,1/1/2014,0.8,53.99,loose_figure,droid,10.5
155,2-1B,graded,1/1/2015,0.8,61,loose_figure,droid,15.8
156,2-1B,graded,1/1/2016,0.8,55.55,loose_figure,droid,14.7
157,2-1B,graded,1/1/2017,0.8,71.25,loose_figure,droid,10.1
158,2-1B,graded,1/1/2018,0.8,89,loose_figure,droid,9.7
159,2-1B,graded,1/1/2019,0.8,82.69,loose_figure,droid,7.6
160,2-1B,graded,1/1/2020,0.8,98,loose_figure,droid,8.6
161,2-1B,graded,1/1/2021,0.8,128,loose_figure,droid,10.8
162,2-1B,graded,1/1/2022,0.8,136.5,loose_figure,droid,17.4
163,2-1B,graded,1/1/2023,0.8,155.72,loose_figure,droid,13.4
164,2-1B,graded,1/1/2024,0.8,165,loose_figure,droid,10.5
165,2-1B,graded,1/1/2025,0.8,152.5,loose_figure,droid,10.3
166,2-1B,graded,1/1/2014,0.7,51.16,loose_figure,droid,10.5
167,2-1B,graded,1/1/2015,0.7,59.99,loose_figure,droid,15.8
168,2-1B,graded,1/1/2016,0.7,54.87,loose_figure,droid,14.7
169,2-1B,graded,1/1/2017,0.7,67,loose_figure,droid,10.1
170,2-1B,graded,1/1/2018,0.7,78.59,loose_figure,droid,9.7
171,2-1B,graded,1/1/2019,0.7,78.71,loose_figure,droid,7.6
172,2-1B,graded,1/1/2020,0.7,93.15,loose_figure,droid,8.6
173,2-1B,graded,1/1/2021,0.7,125,loose_figure,droid,10.8
174,2-1B,graded,1/1/2022,0.7,125,loose_figure,droid,17.4
175,2-1B,graded,1/1/2023,0.7,135,loose_figure,droid,13.4
176,2-1B,graded,1/1/2024,0.7,149.95,loose_figure,droid,10.5
177,2-1B,graded,1/1/2025,0.7,145,loose_figure,droid,10.3
178,2-1B,graded,1/1/2014,0.6,51,loose_figure,droid,10.5
179,2-1B,graded,1/1/2015,0.6,50,loose_figure,droid,15.8
180,2-1B,graded,1/1/2016,0.6,52,loose_figure,droid,14.7
181,2-1B,graded,1/1/2017,0.6,65,loose_figure,droid,10.1
182,2-1B,graded,1/1/2018,0.6,75,loose_figure,droid,9.7
183,2-1B,graded,1/1/2019,0.6,71.29,loose_figure,droid,7.6
184,2-1B,graded,1/1/2020,0.6,84.17,loose_figure,droid,8.6
185,2-1B,graded,1/1/2021,0.6,115,loose_figure,droid,10.8
186,2-1B,graded,1/1/2022,0.6,110.23,loose_figure,droid,17.4
187,2-1B,graded,1/1/2023,0.6,121.03,loose_figure,droid,13.4
188,2-1B,graded,1/1/2024,0.6,139.86,loose_figure,droid,10.5
189,2-1B,graded,1/1/2025,0.6,124.99,loose_figure,droid,10.3
190,2-1B,graded,1/1/2014,0.5,50.99,loose_figure,droid,10.5
191,2-1B,graded,1/1/2015,0.5,49.83,loose_figure,droid,15.8
192,2-1B,graded,1/1/2016,0.5,50.74,loose_figure,droid,14.7
193,2-1B,graded,1/1/2017,0.5,61,loose_figure,droid,10.1
194,2-1B,graded,1/1/2018,0.5,69.89,loose_figure,droid,9.7
195,2-1B,graded,1/1/2019,0.5,66,loose_figure,droid,7.6
196,2-1B,graded,1/1/2020,0.5,68.96,loose_figure,droid,8.6
197,2-1B,graded,1/1/2021,0.5,110,loose_figure,droid,10.8
198,2-1B,graded,1/1/2022,0.5,94.5,loose_figure,droid,17.4
199,2-1B,graded,1/1/2023,0.5,110,loose_figure,droid,13.4
200,2-1B,graded,1/1/2024,0.5,123.5,loose_figure,droid,10.5
201,2-1B,graded,1/1/2025,0.5,119.99,loose_figure,droid,10.3
202,2-1B,graded,1/1/2014,0.4,40.75,loose_figure,droid,10.5
203,2-1B,graded,1/1/2015,0.4,46.2,loose_figure,droid,15.8
204,2-1B,graded,1/1/2016,0.4,49.99,loose_figure,droid,14.7
205,2-1B,graded,1/1/2017,0.4,58.01,loose_figure,droid,10.1
206,2-1B,graded,1/1/2018,0.4,63.38,loose_figure,droid,9.7
207,2-1B,graded,1/1/2019,0.4,59.04,loose_figure,droid,7.6
208,2-1B,graded,1/1/2020,0.4,63.29,loose_figure,droid,8.6
209,2-1B,graded,1/1/2021,0.4,102.5,loose_figure,droid,10.8
210,2-1B,graded,1/1/2022,0.4,86.79,loose_figure,droid,17.4
211,2-1B,graded,1/1/2023,0.4,97.87,loose_figure,droid,13.4
212,2-1B,graded,1/1/2024,0.4,98,loose_figure,droid,10.5
213,2-1B,graded,1/1/2025,0.4,114.99,loose_figure,droid,10.3
214,2-1B,graded,1/1/2014,0.3,38,loose_figure,droid,10.5
215,2-1B,graded,1/1/2015,0.3,45,loose_figure,droid,15.8
216,2-1B,graded,1/1/2016,0.3,45.37,loose_figure,droid,14.7
217,2-1B,graded,1/1/2017,0.3,54.89,loose_figure,droid,10.1
218,2-1B,graded,1/1/2018,0.3,53.62,loose_figure,droid,9.7
219,2-1B,graded,1/1/2019,0.3,48.48,loose_figure,droid,7.6
220,2-1B,graded,1/1/2020,0.3,61,loose_figure,droid,8.6
221,2-1B,graded,1/1/2021,0.3,94,loose_figure,droid,10.8
222,2-1B,graded,1/1/2022,0.3,83.03,loose_figure,droid,17.4
223,2-1B,graded,1/1/2023,0.3,90.46,loose_figure,droid,13.4
224,2-1B,graded,1/1/2024,0.3,93,loose_figure,droid,10.5
225,2-1B,graded,1/1/2025,0.3,112.5,loose_figure,droid,10.3
226,2-1B,graded,1/1/2014,0.2,35.99,loose_figure,droid,10.5
227,2-1B,graded,1/1/2015,0.2,40.15,loose_figure,droid,15.8
228,2-1B,graded,1/1/2016,0.2,43.89,loose_figure,droid,14.7
229,2-1B,graded,1/1/2017,0.2,46,loose_figure,droid,10.1
230,2-1B,graded,1/1/2018,0.2,51.45,loose_figure,droid,9.7
231,2-1B,graded,1/1/2019,0.2,43.78,loose_figure,droid,7.6
232,2-1B,graded,1/1/2020,0.2,57,loose_figure,droid,8.6
233,2-1B,graded,1/1/2021,0.2,88.9,loose_figure,droid,10.8
234,2-1B,graded,1/1/2022,0.2,73.71,loose_figure,droid,17.4
235,2-1B,graded,1/1/2023,0.2,86.29,loose_figure,droid,13.4
236,2-1B,graded,1/1/2024,0.2,86,loose_figure,droid,10.5
237,2-1B,graded,1/1/2025,0.2,92.48,loose_figure,droid,10.3
238,2-1B,graded,1/1/2014,0.1,33,loose_figure,droid,10.5
239,2-1B,graded,1/1/2015,0.1,34.99,loose_figure,droid,15.8
240,2-1B,graded,1/1/2016,0.1,34.6,loose_figure,droid,14.7
241,2-1B,graded,1/1/2017,0.1,40.17,loose_figure,droid,10.1
242,2-1B,graded,1/1/2018,0.1,44.06,loose_figure,droid,9.7
243,2-1B,graded,1/1/2019,0.1,41.31,loose_figure,droid,7.6
244,2-1B,graded,1/1/2020,0.1,47.86,loose_figure,droid,8.6
245,2-1B,graded,1/1/2021,0.1,77,loose_figure,droid,10.8
246,2-1B,graded,1/1/2022,0.1,60.69,loose_figure,droid,17.4
247,2-1B,graded,1/1/2023,0.1,68.41,loose_figure,droid,13.4
248,2-1B,graded,1/1/2024,0.1,81,loose_figure,droid,10.5
249,2-1B,graded,1/1/2025,0.1,91,loose_figure,droid,10.3
250,4-Lom,ungraded,1/1/2013,1,16.28,loose_figure,droid,0.7
251,4-Lom,ungraded,1/1/2014,1,171.66,loose_figure,droid,15.9
252,4-Lom,ungraded,1/1/2015,1,930.7,loose_figure,droid,24.1
253,4-Lom,ungraded,1/1/2016,1,643.62,loose_figure,droid,17.4
254,4-Lom,ungraded,1/1/2017,1,654.24,loose_figure,droid,15.2
255,4-Lom,ungraded,1/1/2018,1,594.25,loose_figure,droid,14.4
256,4-Lom,ungraded,1/1/2019,1,341.31,loose_figure,droid,15.3
257,4-Lom,ungraded,1/1/2020,1,455,loose_figure,droid,16
258,4-Lom,ungraded,1/1/2021,1,246.69,loose_figure,droid,18.5
259,4-Lom,ungraded,1/1/2022,1,283.72,loose_figure,droid,20.6
260,4-Lom,ungraded,1/1/2023,1,50,loose_figure,droid,18.7
261,4-Lom,ungraded,1/1/2024,1,260.89,loose_figure,droid,20.3
262,4-Lom,ungraded,1/1/2025,1,88.54,loose_figure,droid,13.5
263,4-Lom,ungraded,1/1/2013,0.9,13.87,loose_figure,droid,0.7
264,4-Lom,ungraded,1/1/2014,0.9,16.63,loose_figure,droid,15.9
265,4-Lom,ungraded,1/1/2015,0.9,22.1,loose_figure,droid,24.1
266,4-Lom,ungraded,1/1/2016,0.9,24.25,loose_figure,droid,17.4
267,4-Lom,ungraded,1/1/2017,0.9,29.75,loose_figure,droid,15.2
268,4-Lom,ungraded,1/1/2018,0.9,29.76,loose_figure,droid,14.4
269,4-Lom,ungraded,1/1/2019,0.9,27.42,loose_figure,droid,15.3
270,4-Lom,ungraded,1/1/2020,0.9,32.63,loose_figure,droid,16
271,4-Lom,ungraded,1/1/2021,0.9,39,loose_figure,droid,18.5
272,4-Lom,ungraded,1/1/2022,0.9,39,loose_figure,droid,20.6
273,4-Lom,ungraded,1/1/2023,0.9,34.97,loose_figure,droid,18.7
274,4-Lom,ungraded,1/1/2024,0.9,34,loose_figure,droid,20.3
275,4-Lom,ungraded,1/1/2025,0.9,33,loose_figure,droid,13.5
276,4-Lom,ungraded,1/1/2013,0.8,12.56,loose_figure,droid,0.7
277,4-Lom,ungraded,1/1/2014,0.8,13.57,loose_figure,droid,15.9
278,4-Lom,ungraded,1/1/2015,0.8,17.38,loose_figure,droid,24.1
279,4-Lom,ungraded,1/1/2016,0.8,17.43,loose_figure,droid,17.4
280,4-Lom,ungraded,1/1/2017,0.8,19.04,loose_figure,droid,15.2
281,4-Lom,ungraded,1/1/2018,0.8,21.24,loose_figure,droid,14.4
282,4-Lom,ungraded,1/1/2019,0.8,21.5,loose_figure,droid,15.3
283,4-Lom,ungraded,1/1/2020,0.8,26.76,loose_figure,droid,16
284,4-Lom,ungraded,1/1/2021,0.8,34.99,loose_figure,droid,18.5
285,4-Lom,ungraded,1/1/2022,0.8,35,loose_figure,droid,20.6
286,4-Lom,ungraded,1/1/2023,0.8,32,loose_figure,droid,18.7
287,4-Lom,ungraded,1/1/2024,0.8,30.73,loose_figure,droid,20.3
288,4-Lom,ungraded,1/1/2025,0.8,29.99,loose_figure,droid,13.5
289,4-Lom,ungraded,1/1/2013,0.7,12.56,loose_figure,droid,0.7
290,4-Lom,ungraded,1/1/2014,0.7,11.99,loose_figure,droid,15.9
291,4-Lom,ungraded,1/1/2015,0.7,14.5,loose_figure,droid,24.1
292,4-Lom,ungraded,1/1/2016,0.7,15.54,loose_figure,droid,17.4
293,4-Lom,ungraded,1/1/2017,0.7,16.1,loose_figure,droid,15.2
294,4-Lom,ungraded,1/1/2018,0.7,18.02,loose_figure,droid,14.4
295,4-Lom,ungraded,1/1/2019,0.7,18,loose_figure,droid,15.3
296,4-Lom,ungraded,1/1/2020,0.7,23.28,loose_figure,droid,16
297,4-Lom,ungraded,1/1/2021,0.7,31.6,loose_figure,droid,18.5
298,4-Lom,ungraded,1/1/2022,0.7,33,loose_figure,droid,20.6
299,4-Lom,ungraded,1/1/2023,0.7,29.92,loose_figure,droid,18.7
300,4-Lom,ungraded,1/1/2024,0.7,28.99,loose_figure,droid,20.3
301,4-Lom,ungraded,1/1/2025,0.7,28,loose_figure,droid,13.5
302,4-Lom,ungraded,1/1/2013,0.6,10.71,loose_figure,droid,0.7
303,4-Lom,ungraded,1/1/2014,0.6,10.95,loose_figure,droid,15.9
304,4-Lom,ungraded,1/1/2015,0.6,12.5,loose_figure,droid,24.1
305,4-Lom,ungraded,1/1/2016,0.6,14.4,loose_figure,droid,17.4
306,4-Lom,ungraded,1/1/2017,0.6,14.64,loose_figure,droid,15.2
307,4-Lom,ungraded,1/1/2018,0.6,16.43,loose_figure,droid,14.4
308,4-Lom,ungraded,1/1/2019,0.6,15.79,loose_figure,droid,15.3
309,4-Lom,ungraded,1/1/2020,0.6,20.5,loose_figure,droid,16
310,4-Lom,ungraded,1/1/2021,0.6,29.59,loose_figure,droid,18.5
311,4-Lom,ungraded,1/1/2022,0.6,31.01,loose_figure,droid,20.6
312,4-Lom,ungraded,1/1/2023,0.6,27,loose_figure,droid,18.7
313,4-Lom,ungraded,1/1/2024,0.6,25.99,loose_figure,droid,20.3
314,4-Lom,ungraded,1/1/2025,0.6,25.98,loose_figure,droid,13.5
315,4-Lom,ungraded,1/1/2013,0.5,10.71,loose_figure,droid,0.7
316,4-Lom,ungraded,1/1/2014,0.5,9.5,loose_figure,droid,15.9
317,4-Lom,ungraded,1/1/2015,0.5,11,loose_figure,droid,24.1
318,4-Lom,ungraded,1/1/2016,0.5,12.5,loose_figure,droid,17.4
319,4-Lom,ungraded,1/1/2017,0.5,12.61,loose_figure,droid,15.2
320,4-Lom,ungraded,1/1/2018,0.5,15,loose_figure,droid,14.4
321,4-Lom,ungraded,1/1/2019,0.5,14.44,loose_figure,droid,15.3
322,4-Lom,ungraded,1/1/2020,0.5,19.25,loose_figure,droid,16
323,4-Lom,ungraded,1/1/2021,0.5,27,loose_figure,droid,18.5
324,4-Lom,ungraded,1/1/2022,0.5,29,loose_figure,droid,20.6
325,4-Lom,ungraded,1/1/2023,0.5,23.95,loose_figure,droid,18.7
326,4-Lom,ungraded,1/1/2024,0.5,23.5,loose_figure,droid,20.3
327,4-Lom,ungraded,1/1/2025,0.5,22.5,loose_figure,droid,13.5
328,4-Lom,ungraded,1/1/2013,0.4,10.61,loose_figure,droid,0.7
329,4-Lom,ungraded,1/1/2014,0.4,8.99,loose_figure,droid,15.9
330,4-Lom,ungraded,1/1/2015,0.4,10,loose_figure,droid,24.1
331,4-Lom,ungraded,1/1/2016,0.4,11.5,loose_figure,droid,17.4
332,4-Lom,ungraded,1/1/2017,0.4,11.67,loose_figure,droid,15.2
333,4-Lom,ungraded,1/1/2018,0.4,13.24,loose_figure,droid,14.4
334,4-Lom,ungraded,1/1/2019,0.4,12.91,loose_figure,droid,15.3
335,4-Lom,ungraded,1/1/2020,0.4,17.05,loose_figure,droid,16
336,4-Lom,ungraded,1/1/2021,0.4,24.82,loose_figure,droid,18.5
337,4-Lom,ungraded,1/1/2022,0.4,26.76,loose_figure,droid,20.6
338,4-Lom,ungraded,1/1/2023,0.4,21.5,loose_figure,droid,18.7
339,4-Lom,ungraded,1/1/2024,0.4,20.99,loose_figure,droid,20.3
340,4-Lom,ungraded,1/1/2025,0.4,20.5,loose_figure,droid,13.5
341,4-Lom,ungraded,1/1/2013,0.3,9.83,loose_figure,droid,0.7
342,4-Lom,ungraded,1/1/2014,0.3,8.11,loose_figure,droid,15.9
343,4-Lom,ungraded,1/1/2015,0.3,9.25,loose_figure,droid,24.1
344,4-Lom,ungraded,1/1/2016,0.3,9.99,loose_figure,droid,17.4
345,4-Lom,ungraded,1/1/2017,0.3,10.81,loose_figure,droid,15.2
346,4-Lom,ungraded,1/1/2018,0.3,12.13,loose_figure,droid,14.4
347,4-Lom,ungraded,1/1/2019,0.3,11.5,loose_figure,droid,15.3
348,4-Lom,ungraded,1/1/2020,0.3,15.5,loose_figure,droid,16
349,4-Lom,ungraded,1/1/2021,0.3,22.4,loose_figure,droid,18.5
350,4-Lom,ungraded,1/1/2022,0.3,24,loose_figure,droid,20.6
351,4-Lom,ungraded,1/1/2023,0.3,18.67,loose_figure,droid,18.7
352,4-Lom,ungraded,1/1/2024,0.3,19.13,loose_figure,droid,20.3
353,4-Lom,ungraded,1/1/2025,0.3,18.44,loose_figure,droid,13.5
354,4-Lom,ungraded,1/1/2013,0.2,9.83,loose_figure,droid,0.7
355,4-Lom,ungraded,1/1/2014,0.2,6.9,loose_figure,droid,15.9
356,4-Lom,ungraded,1/1/2015,0.2,7.99,loose_figure,droid,24.1
